Date,Policy #,Processing Done
"Thursday, November 2, 2017",VF53192100,TIAEXPIRED
"Thursday, November 2, 2017",VF53177360,Refund
"Thursday, November 2, 2017",VF53189480,Refund
"Thursday, November 2, 2017",VF53179200,TIAEXPIRED
"Thursday, November 2, 2017",VF53182120,Refund
"Thursday, November 2, 2017",VF53185140,Refund
"Thursday, November 2, 2017",VF53184840,Refund
"Thursday, November 2, 2017",VF53182070,Refund
"Friday, November 3, 2017",VF53177360,Refund
"Friday, November 3, 2017",VF53182120,Refund
"Friday, November 3, 2017",VF53185140,Refund
"Friday, November 3, 2017",VF53184840,Refund
"Friday, November 3, 2017",VF53182070,Refund
"Monday, November 6, 2017",VF53184160,TIAEXPIRED
"Monday, November 6, 2017",VF53184870,TIAEXPIRED
"Monday, November 6, 2017",VF53186000,TIAEXPIRED
"Monday, November 6, 2017",VF53196620,EFT TIA
"Monday, November 6, 2017",VF53197180,EFT TIA
"Monday, November 6, 2017",VF53185130,TIAEXPIRED
"Monday, November 6, 2017",VF53180790,TIAEXPIRED
"Monday, November 6, 2017",VF53195370,EFT TIA
"Monday, November 6, 2017",VF53180870,Docattach
"Monday, November 6, 2017",VF53184510,TIAEXPIRED
"Monday, November 6, 2017",VF53195830,EFT TIA
"Monday, November 6, 2017",VF53197170,EFT TIA
"Monday, November 6, 2017",VF53197110,EFT TIA
"Monday, November 6, 2017",VF53196080,EFT TIA
"Monday, November 6, 2017",VF53192920,EFT TIA
"Monday, November 6, 2017",VF53180430,Docattach
"Tuesday, November 7, 2017",VF53196730,EFT TIA
"Tuesday, November 7, 2017",VF53197270,EFT TIA
"Tuesday, November 7, 2017",VF53197440,EFT TIA
"Tuesday, November 7, 2017",VF53196920,EFT TIA
"Tuesday, November 7, 2017",VF53196850,EFT TIA
"Tuesday, November 7, 2017",VF53181400,Refund
"Tuesday, November 7, 2017",VF53196890,EFT TIA
"Tuesday, November 7, 2017",VF53196940,EFT TIA
"Thursday, November 9, 2017",VF53199090,EFT TIA
"Thursday, November 9, 2017",VF53199100,EFT TIA
"Thursday, November 9, 2017",VF53199210,EFT TIA
"Friday, November 10, 2017",VF53199640,EFT TIA
"Friday, November 10, 2017",VF53199930,EFT TIA
"Friday, November 10, 2017",VF53198280,EFT TIA
"Friday, November 10, 2017",VF53192880,Refund
"Friday, November 10, 2017",VF53182950,Docattach
"Friday, November 10, 2017",VF53200020,EFT TIA
"Friday, November 10, 2017",VF53195570,Paycase
"Wednesday, November 15, 2017",VF53184740,TIAEXPIRED
"Wednesday, November 15, 2017",VF53202850,EFT TIA
"Wednesday, November 15, 2017",VF53203140,EFT TIA
"Wednesday, November 15, 2017",VF53202870,EFT TIA
"Wednesday, November 15, 2017",VF53203150,EFT TIA
"Wednesday, November 15, 2017",VF53182720,Refund
"Wednesday, November 15, 2017",VF53185360,TIAEXPIRED
"Wednesday, November 15, 2017",VF53202290,EFT TIA
"Wednesday, November 15, 2017",VF53202910,EFT TIA
"Wednesday, November 15, 2017",VF53203110,EFT TIA
"Wednesday, November 15, 2017",VF53179120,EFT TIA
"Thursday, November 16, 2017",VF76049070,EFT TIA
"Thursday, November 16, 2017",VF53203260,EFT TIA
"Thursday, November 16, 2017",VF53203530,EFT TIA
"Thursday, November 16, 2017",VF53190340,Refund
"Thursday, November 16, 2017",VF53204100,EFT TIA
"Thursday, November 16, 2017",VF53203270,EFT TIA
"Thursday, November 16, 2017",VF53179210,Paycase
"Thursday, November 16, 2017",VF53203810,EFT TIA
"Thursday, November 16, 2017",VF53186980,TIAEXPIRED
"Thursday, November 16, 2017",VF53187740,TIAEXPIRED
"Thursday, November 16, 2017",VF53203730,EFT TIA
"Thursday, November 16, 2017",VF53203590,EFT TIA
"Thursday, November 16, 2017",VF53204270,EFT TIA
"Thursday, November 16, 2017",VF53203980,EFT TIA
"Friday, November 17, 2017",VF53186980,TIAEXPIRED
"Friday, November 17, 2017",VF53177450,Refund
"Friday, November 17, 2017",VF53187330,Refund
"Friday, November 17, 2017",VF53189240,Refund
"Friday, November 17, 2017",VF53204090,EFT TIA
"Friday, November 17, 2017",VF53204220,EFT TIA
"Friday, November 17, 2017",VF53204130,EFT TIA
"Friday, November 17, 2017",VF53204300,EFT TIA
"Friday, November 17, 2017",VF53204040,EFT TIA
"Friday, November 17, 2017",VF53204160,EFT TIA
"Friday, November 17, 2017",VF53204230,EFT TIA
"Friday, November 17, 2017",VF53204350,EFT TIA
