Date,Policy #,Processing Done
"Monday, April 2, 2018",VF53255960,Premiums Inbox
"Monday, April 2, 2018",VF53248330,Premiums Inbox
"Tuesday, April 3, 2018",VF53263670,Premiums Inbox
"Tuesday, April 3, 2018",VF53265100,Premiums Inbox
"Wednesday, April 4, 2018",VF53256160,Premiums Inbox
"Wednesday, April 4, 2018",VF53270370,Premiums Inbox
"Wednesday, April 4, 2018",VP66180240,Premiums Inbox
"Wednesday, April 4, 2018",VF53230470,Premiums Inbox
"Wednesday, April 4, 2018",VF53255960,Premiums Inbox
"Wednesday, April 4, 2018",VF53253580,Premiums Inbox
"Wednesday, April 4, 2018",VF53241270,Premiums Inbox
"Thursday, April 5, 2018",VF53255960,Premiums Inbox
"Friday, April 6, 2018",VF53268790 ,Premiums Inbox
"Monday, April 9, 2018",VF53271000,Premiums Inbox
"Monday, April 9, 2018",VF53271750,Premiums Inbox
"Monday, April 9, 2018",VF53272370,Premiums Inbox
"Monday, April 9, 2018",VF53211500,Premiums Inbox
"Monday, April 9, 2018",VF53196000,Premiums Inbox
"Monday, April 9, 2018",VF53269260,Premiums Inbox
"Monday, April 9, 2018",VF53183480,Premiums Inbox
"Monday, April 9, 2018",VF53193590,Premiums Inbox
"Tuesday, April 10, 2018",VF53231520,Premiums Inbox
"Tuesday, April 10, 2018",VF53240020,Premiums Inbox
"Tuesday, April 10, 2018",VP66317180,Premiums Inbox
"Tuesday, April 10, 2018",VF53204100 ,Premiums Inbox
"Tuesday, April 10, 2018",VF53233060,Premiums Inbox
"Tuesday, April 10, 2018",VF53245790,Premiums Inbox
"Thursday, April 12, 2018",VF53269230,Premiums Inbox
"Thursday, April 12, 2018",VF53211020,Premiums Inbox
"Thursday, April 12, 2018",VF53264840,Premiums Inbox
"Thursday, April 12, 2018",VP66312350,Premiums Inbox
"Friday, April 13, 2018",VF53274240 ,Premiums Inbox
"Friday, April 13, 2018",VF53254300,Premiums Inbox
"Monday, April 16, 2018",VF53248190,Premiums Inbox
"Monday, April 16, 2018",VP66317970,Premiums Inbox
"Monday, April 16, 2018",VP66317980,Premiums Inbox
"Tuesday, April 17, 2018",VF53237960,Premiums Inbox
"Tuesday, April 17, 2018",VF53248780,Premiums Inbox
"Tuesday, April 17, 2018",VF53248190,Premiums Inbox
"Tuesday, April 17, 2018",VF53275420,Premiums Inbox
"Tuesday, April 17, 2018",VP66318200,Premiums Inbox
"Tuesday, April 17, 2018",VF53254300,Premiums Inbox
"Wednesday, April 18, 2018",VF53231520,Premiums Inbox
"Thursday, April 19, 2018",VF53271450,Premiums Inbox
"Friday, April 20, 2018",VF53247400,Premiums Inbox
"Friday, April 20, 2018",VF53249390,Premiums Inbox
"Monday, April 23, 2018",VF53194630,Premiums Inbox
"Monday, April 23, 2018",VF53278420 ,Premiums Inbox
"Monday, April 23, 2018",VF53279350,Premiums Inbox
"Monday, April 23, 2018",VF53244350,Premiums Inbox
"Monday, April 23, 2018",VF53262720,Premiums Inbox
"Monday, April 23, 2018",VF53278620,Premiums Inbox
"Monday, April 23, 2018",VF53231620,Premiums Inbox
"Tuesday, April 24, 2018",VF53243140,Premiums Inbox
"Tuesday, April 24, 2018",VF53279790,Premiums Inbox
"Tuesday, April 24, 2018",VF53280330,Premiums Inbox
"Tuesday, April 24, 2018",VF53211470,Premiums Inbox
"Tuesday, April 24, 2018",VF53211470,Premiums Inbox
"Tuesday, April 24, 2018",VF53205020 ,Premiums Inbox
"Tuesday, April 24, 2018",VF53278710,Premiums Inbox
"Tuesday, April 24, 2018",VF53187490,Premiums Inbox
"Wednesday, April 25, 2018",VF53238310,Premiums Inbox
"Wednesday, April 25, 2018",VP66320240,Premiums Inbox
