Date,Policy #,Queue
"Thursday, July 21, 2016",AT10233850,Docattach
"Friday, July 22, 2016",AT10239000,Docattach
"Tuesday, July 26, 2016",AT10240360  ,Docattach
"Tuesday, July 26, 2016",AT10242050,Docattach
"Tuesday, July 26, 2016",AT10242950,Docattach
"Wednesday, July 27, 2016",AT10220330,Docattach
"Wednesday, July 27, 2016",AT10243690,Docattach
"Wednesday, July 27, 2016",AT10224440,Docattach
"Wednesday, July 27, 2016",AT10235360,Docattach
"Thursday, July 28, 2016",AT70003660,Docattach
"Thursday, July 28, 2016",AT10234120,Docattach
"Thursday, July 28, 2016",AT10261390,Docattach
"Tuesday, August 2, 2016",AT10239990,Docattach
"Tuesday, August 2, 2016",AT10252140,Docattach
"Tuesday, August 2, 2016",AT10234280,Docattach
"Wednesday, August 3, 2016",AT10263560,Docattach
"Wednesday, August 3, 2016",AT10263610,Docattach
"Wednesday, August 3, 2016",AT10263760,Docattach
"Wednesday, August 3, 2016",AT10263770,Docattach
"Wednesday, August 3, 2016",AT10249590,Docattach
"Thursday, August 4, 2016",AT10244450,Docattach
"Thursday, August 4, 2016",AT10247240,Docattach
"Thursday, August 4, 2016",AT10220800,Docattach
"Thursday, August 4, 2016",AT10232050,Docattach
"Thursday, August 4, 2016",AT10248980,Docattach
"Thursday, August 4, 2016",AT10240730,Docattach
"Friday, August 5, 2016",AT10246190,Docattach
"Friday, August 5, 2016",AT10196100,Docattach
"Friday, August 5, 2016",AT10220800,Docattach
"Friday, August 5, 2016",AT10248840,Docattach
"Friday, August 5, 2016",AT10252290,Docattach
"Monday, August 8, 2016",AT10223060,Docattach
"Monday, August 8, 2016",AT10254590,Docattach
"Monday, August 8, 2016",AT10225270,Docattach
"Monday, August 8, 2016",AT10242360,Docattach
"Monday, August 8, 2016",AT10240150,Docattach
"Monday, August 8, 2016",AT10244430,Docattach
"Monday, August 8, 2016",AT10228040,Docattach
"Monday, August 8, 2016",AT10235470,Docattach
"Tuesday, August 9, 2016",AT10225600,Docattach
"Tuesday, August 9, 2016",AT10252010,Docattach
"Tuesday, August 9, 2016",AT10252240,Docattach
"Tuesday, August 9, 2016",AT10265420,Docattach
"Wednesday, August 10, 2016",AT10248470,Docattach
"Wednesday, August 10, 2016",AT10265940,Docattach
"Wednesday, August 10, 2016",AT10212750,Docattach
"Wednesday, August 10, 2016",AT10236380,Docattach
"Wednesday, August 10, 2016",AT10249890,Docattach
"Wednesday, August 10, 2016",AT10212750,Docattach
"Thursday, August 11, 2016",AT10238890,Docattach
"Thursday, August 11, 2016",AT10226760,Docattach
"Thursday, August 11, 2016",AT10250550,Docattach
"Friday, August 12, 2016",AT10260540,Docattach
"Friday, August 12, 2016",AT10266840,Docattach
"Friday, August 12, 2016",AT10240980,Docattach
