Date,Policy #,Queue
"Wednesday, April 1, 2015",VF52825910,Docattach
"Wednesday, April 1, 2015",VF52820190,Docattach
"Wednesday, April 1, 2015",VF52802570,Docattach
"Tuesday, April 7, 2015",VF52809810,Docattach
"Tuesday, April 7, 2015",VF52793030,Docattach
"Tuesday, April 7, 2015",VF52831330,Docattach
"Tuesday, April 7, 2015",VF52806910,Docattach
"Wednesday, April 8, 2015",VF52813730,Docattach
"Wednesday, April 8, 2015",VF52801050,Docattach
"Wednesday, April 8, 2015",VF52834400,Docattach
"Wednesday, April 8, 2015",VF52832990,Docattach
"Wednesday, April 8, 2015",VF76042620,Docattach
"Wednesday, April 8, 2015",VF52817220,Docattach
"Wednesday, April 8, 2015",VF52818230,Docattach
"Thursday, April 9, 2015",VF52820860,Docattach
"Thursday, April 9, 2015",VF52826980,Docattach
"Thursday, April 9, 2015",VF52841580,Docattach
"Thursday, April 9, 2015",VF52832470,Docattach
"Friday, April 10, 2015",VF52826020,Docattach
"Monday, April 13, 2015",VF52815020,Docattach
"Monday, April 13, 2015",VF52800880,Docattach
"Tuesday, April 14, 2015",VF52820420,Docattach
"Tuesday, April 14, 2015",VF52821470,Docattach
"Tuesday, April 14, 2015",VF52830210,Docattach
"Tuesday, April 14, 2015",VF52834110,Docattach
"Tuesday, April 14, 2015",VF52837070,Docattach
"Tuesday, April 14, 2015",VF52843290,Docattach
"Tuesday, April 14, 2015",VF52838810,Docattach
"Tuesday, April 14, 2015",VF52836480,Docattach
"Wednesday, April 15, 2015",VF52830230,Docattach
"Wednesday, April 15, 2015",VF52802110,Docattach
"Thursday, April 16, 2015",VF52815220,Docattach
"Thursday, April 16, 2015",VF52827100,Docattach
"Thursday, April 16, 2015",VF52833020,Docattach
"Thursday, April 16, 2015",VF52835980,Docattach
"Thursday, April 16, 2015",VF52826820,Docattach
"Monday, April 20, 2015",VF52853940,Docattach
"Monday, April 20, 2015",VF52824830,Docattach
"Monday, April 20, 2015",VF52835640,Docattach
"Monday, April 20, 2015",VF52847400,Docattach
"Monday, April 20, 2015",VF52819110,Docattach
"Tuesday, April 21, 2015",VF52841530,Docattach
"Tuesday, April 21, 2015",VF52843340,Docattach
"Tuesday, April 21, 2015",VF52824700,Docattach
"Tuesday, April 21, 2015",VF52821520,Docattach
"Tuesday, April 21, 2015",VF52824130,Docattach
"Tuesday, April 21, 2015",VF52836770,Docattach
"Tuesday, April 21, 2015",VF52832630,Docattach
"Wednesday, April 22, 2015",VF52835390,Docattach
"Wednesday, April 22, 2015",VF52806810,Docattach
"Wednesday, April 22, 2015",VF52824530,Docattach
"Wednesday, April 22, 2015",VF52816560,Docattach
"Wednesday, April 22, 2015",VF52824130,Docattach
"Thursday, April 23, 2015",VP66183720,Docattach
"Thursday, April 23, 2015",VF52833820,Docattach
"Thursday, April 23, 2015",VF52815360,Docattach
"Tuesday, April 28, 2015",VF52790240,Docattach
"Tuesday, April 28, 2015",VF52852460,Docattach
"Tuesday, April 28, 2015",VF52826880,Docattach
"Friday, May 1, 2015",VF52840160,Docattach
"Friday, May 1, 2015",VF52857230,Docattach
"Friday, May 1, 2015",VF52843020,Docattach
"Friday, May 1, 2015",VP66188320,Docattach
"Friday, May 1, 2015",VF52824830,Docattach
"Friday, May 1, 2015",VF52802180,Docattach
"Monday, May 4, 2015",VF52858510,Docattach
"Monday, May 4, 2015",VF52842170,Docattach
"Monday, May 4, 2015",VF52842090,Docattach
"Monday, May 4, 2015",VF52841780,Docattach
"Monday, May 4, 2015",VF52848340,Docattach
"Monday, May 4, 2015",VF52839540,Docattach
"Monday, May 4, 2015",VF52834640,Docattach
"Monday, May 4, 2015",VF52852550,Docattach
"Monday, May 4, 2015",VF52831000,Docattach
"Monday, May 4, 2015",VF52844460,Docattach
"Monday, May 4, 2015",VF52851470,Docattach
"Monday, May 4, 2015",VF52824300,Docattach
"Monday, May 4, 2015",VF52840160,Docattach
"Monday, May 4, 2015",VF52846480,Docattach
"Monday, May 4, 2015",VF52855410,Docattach
"Monday, May 4, 2015",VF52841300,Docattach
"Monday, May 4, 2015",VF52802010,Docattach
"Monday, May 4, 2015",VF52837240,Docattach
"Tuesday, May 5, 2015",VF52833900,Docattach
