Date,Policy #,Queue,Mode,Email Sent,Notes
"Wednesday, January 6, 2016",VF52934630,Pay,Direct Annual,No,
"Thursday, January 7, 2016",VF52895530,Pay,Direct Annual,No,
"Thursday, January 7, 2016",VF52938240,Pay,Direct Quarterly,No,
"Thursday, January 7, 2016",VF52938200,Pay,Direct Annual,No,
"Friday, January 8, 2016",VF52874860,Pay,,,
"Friday, January 8, 2016",VF52913650,Pay,,,
"Friday, January 8, 2016",VF52903200,Pay,Monthly EFT,No,
"Friday, January 8, 2016",VF52895490,Pay,Monthly EFT,No,
"Friday, January 8, 2016",VF52930150,Pay,Monthly EFT,Yes,
"Friday, January 8, 2016",VF52926720,Pay,Direct Annual,No,
"Friday, January 8, 2016",VF52938760,Pay,Direct Quarterly,No,
"Monday, January 11, 2016",VF52918470,Pay,,,
"Monday, January 11, 2016",VF52933320,Pay,Direct Annual,No,
"Monday, January 11, 2016",VF52909660,Pay,ListBill,No,
"Monday, January 11, 2016",VF52921460,Pay,ListBill,No,
"Monday, January 11, 2016",VF52923890,Pay,Monthly EFT,Yes,
"Monday, January 11, 2016",VF52928650,Pay,ListBill,No,
"Monday, January 11, 2016",VF52924440,Pay,Monthly EFT,Yes,
"Monday, January 11, 2016",VF52918470,Pay,Monthly EFT,Yes,
"Tuesday, January 12, 2016",VF52938270,Pay,Monthly EFT,Yes,
"Tuesday, January 12, 2016",VF52921370,Pay,Direct Annual,No,
"Tuesday, January 12, 2016",VF52933200,Pay,Monthly EFT,Yes,
"Tuesday, January 12, 2016",VF52919160,Pay,Direct Annual,No,
"Wednesday, January 13, 2016",VF52928450,Pay,Monthly EFT,,
"Wednesday, January 13, 2016",VF52925560,Pay,Direct Annual,No,
"Wednesday, January 13, 2016",VF52901770,Pay,Monthly EFT,Yes,
"Wednesday, January 13, 2016",VF52929920,Pay,Monthly EFT,No,
"Wednesday, January 13, 2016",VF52928450,Pay,Monthly EFT,No,
"Wednesday, January 13, 2016",VF52915720,Pay,Direct Annual,No,
"Wednesday, January 13, 2016",VF52936990,Pay,Direct Annual,No,
"Wednesday, January 13, 2016",VF52911770,Pay,Direct Annual,No,
"Wednesday, January 13, 2016",VF52906070,Pay EFT,Monthly EFT,Yes,
"Thursday, January 14, 2016",VF52901430,Pay,Direct Annual,No,
"Thursday, January 14, 2016",VF52938690,Pay,Direct Annual,No,
"Thursday, January 14, 2016",VF52928940,Pay,Direct Quarterly,No,
"Friday, January 15, 2016",VF52937810,Pay,Monthly EFT,Yes,
"Friday, January 15, 2016",VF52906020,Pay,Direct Annual,No,
"Friday, January 15, 2016",VF52901820,Pay,Direct Annual,No,
"Monday, January 25, 2016",VF52920380,Pay,Direct Annual,No,
"Monday, January 25, 2016",VF52932370,Pay,Monthly EFT,Yes,
"Monday, January 25, 2016",VF52930920,Pay,Monthly EFT,No,
"Monday, January 25, 2016",VF52927850,Pay EFT,Monthly EFT,No,
"Tuesday, January 26, 2016",VF52938310,Pay,Monthly EFT,Yes,
"Tuesday, January 26, 2016",VF52937820,Pay,Direct Annual,No,
"Tuesday, January 26, 2016",VF52914700,Pay EFT,Monthly EFT,No,
"Tuesday, January 26, 2016",VF52905950,Pay EFT,Monthly EFT,Yes,
"Tuesday, January 26, 2016",VF52942090,Pay,Direct Annual,No,
"Tuesday, January 26, 2016",VF52942090,Pay,Direct Annual,No,
"Wednesday, January 27, 2016",VF52937280,Pay,Direct Quarterly,No,
"Wednesday, January 27, 2016",VF52945490,Pay,Monthly EFT,No,
"Wednesday, January 27, 2016",VF52940170,Pay,Direct Annual,No,
"Wednesday, January 27, 2016",VF52925660,Pay,Monthly EFT,Yes,
"Thursday, January 28, 2016",VF52915380,Pay,Direct Annual,No,
"Thursday, January 28, 2016",VF52933230,Pay,Direct Annual,No,
"Thursday, January 28, 2016",VF52874190,Pay,Direct Annual,No,
"Thursday, January 28, 2016",VF52934210,Pay EFT,Monthly EFT,Yes,
"Friday, January 29, 2016",VF52898930,Pay,Direct Annual,No,
"Friday, January 29, 2016",VF52906280,Pay,Direct Quarterly,No,
"Friday, January 29, 2016",VF52914620,Pay,ListBill,No,
"Friday, January 29, 2016",VF52935150,Pay,Monthly EFT,No,
"Friday, January 29, 2016",VF52910760,Pay EFT,Monthly EFT,Yes,
"Friday, January 29, 2016",VF52942900,Pay EFT,Monthly EFT,Yes,
"Monday, February 1, 2016",VF52915600,Pay,Monthly EFT,No,
"Monday, February 1, 2016",VF52929730,Pay,Monthly EFT,No,
