DATE,POLICY,DETAILS
"Friday, April 11, 2014",VF52700020,Decline
"Friday, April 11, 2014",VF52693400,Decline
"Monday, April 14, 2014",VF52683830,Return TIA
"Monday, April 14, 2014",VF52676800,Decline
"Monday, April 14, 2014",VF52679820,Decline
"Monday, April 14, 2014",VF52698690,Decline
"Monday, April 14, 2014",VF52700830,Decline
"Monday, April 14, 2014",VF52693780,Decline
"Monday, April 14, 2014",VF52699850,Return TIA
"Tuesday, April 15, 2014",VF52702010,Decline
"Tuesday, April 15, 2014",VF52647730,Decline
"Tuesday, April 15, 2014",VF52693540,Return TIA
"Wednesday, April 16, 2014",VF52704730,Decline
"Wednesday, April 16, 2014",VF52691650,Decline
"Wednesday, April 16, 2014",VF52704880,Decline
"Wednesday, April 16, 2014",VF52699990,Decline
"Wednesday, April 16, 2014",VF52701220,Decline
"Wednesday, April 16, 2014",VF52703970,Decline
"Wednesday, April 16, 2014",VF52692190,Decline
"Wednesday, April 16, 2014",VF52696680,Decline
"Wednesday, April 16, 2014",VF52673390,Decline
"Wednesday, April 16, 2014",VF52694080,Decline
"Thursday, April 17, 2014",VF52698680,Decline
"Thursday, April 17, 2014",VF52704400,Decline
"Thursday, April 17, 2014",VF52687620,Decline
"Friday, April 18, 2014",VF52676270,Decline
"Friday, April 18, 2014",VF52699230,Decline
"Friday, April 18, 2014",VF52680480,Decline
"Friday, April 18, 2014",VF52698350,Decline
"Friday, April 18, 2014",VF52701810,Decline
"Friday, April 18, 2014",VF52692140,Decline
"Monday, April 21, 2014",VF52688000,Decline
"Monday, April 21, 2014",VF52697900,Decline
"Monday, April 21, 2014",VF52689400,Decline
"Monday, April 21, 2014",VF52704150,Decline
"Monday, April 21, 2014",VF52702060,Decline
"Monday, April 21, 2014",VF52702290,Return TIA
"Monday, April 21, 2014",VF52697810,Return TIA
"Monday, April 21, 2014",VF52702760,Return TIA
"Tuesday, April 22, 2014",VF52704000,Return TIA
"Tuesday, April 22, 2014",VF52701420,Return TIA
"Tuesday, April 22, 2014",VF52707030,Return TIA
"Tuesday, April 22, 2014",VF52703600,Return TIA
"Tuesday, April 22, 2014",VF52709220,Decline
"Wednesday, April 23, 2014",VF52708550,Decline
"Thursday, April 24, 2014",VF52666140 ,Decline
"Thursday, April 24, 2014",VF52690910,Decline
"Thursday, April 24, 2014",VF52709350,Decline
"Thursday, April 24, 2014",VF52703030,Decline
"Friday, April 25, 2014",VF52704280,Return TIA
"Friday, April 25, 2014",VF52677370,Decline
"Friday, April 25, 2014",VF52700970,Decline
"Friday, April 25, 2014",VP66137290,Decline
"Friday, April 25, 2014",VF52690290,Decline
"Friday, April 25, 2014",VF52709680,Decline
"Friday, April 25, 2014",VF52709910,Decline
"Monday, April 28, 2014",VF52693530,Decline
"Monday, April 28, 2014",VF52688980,Decline
"Monday, April 28, 2014",VF52697430,Decline
"Monday, April 28, 2014",VF52698860,Decline
"Monday, April 28, 2014",VF52704260,Decline
"Monday, April 28, 2014",VF52709190,Decline
"Monday, April 28, 2014",VF52711200,Decline
"Monday, April 28, 2014",VF52700580,Decline
"Tuesday, April 29, 2014",VF52704370,Decline
"Tuesday, April 29, 2014",VF52713210,Decline
"Tuesday, April 29, 2014",VF52666620,Decline
"Tuesday, April 29, 2014",VF52705890,Decline
"Tuesday, April 29, 2014",VF52688670,Decline
"Tuesday, April 29, 2014",VF52700430,Decline
"Tuesday, April 29, 2014",VF52703980,Decline
"Tuesday, April 29, 2014",VF52699960,Decline
"Tuesday, April 29, 2014",VF52704390,Decline
"Tuesday, April 29, 2014",VF52694710,Decline
"Wednesday, April 30, 2014",VF52706150,Decline
"Wednesday, April 30, 2014",VF52693520,Decline
"Wednesday, April 30, 2014",VF52701310,Decline
"Wednesday, April 30, 2014",VF52663300,Decline
"Wednesday, April 30, 2014",VF52688640,Decline
"Thursday, May 1, 2014",VF52712550,Decline
"Thursday, May 1, 2014",VF52708590,Decline
"Thursday, May 1, 2014",VF52703430,Decline
"Thursday, May 1, 2014",VF52712010,Decline
"Friday, May 2, 2014",VF52692990,Decline
"Friday, May 2, 2014",VF52700820,Decline
"Friday, May 2, 2014",VF52703830,Decline
"Tuesday, May 6, 2014",VF52666160,Decline
"Tuesday, May 6, 2014",VF52666130,Decline
"Tuesday, May 6, 2014",VF52666120,Decline
"Tuesday, May 6, 2014",VF52698020,Decline
"Tuesday, May 6, 2014",VF52707580,Decline
"Tuesday, May 6, 2014",VF52708880,Decline
"Tuesday, May 6, 2014",VF52715810,Decline
"Tuesday, May 6, 2014",VF52704010,Decline
"Wednesday, May 7, 2014",VF52703460,Decline
"Thursday, May 8, 2014",VF52693590,Decline
"Friday, May 9, 2014",VF52708610,Decline
"Friday, May 9, 2014",VF52666110,Decline
"Friday, May 9, 2014",VF52707740,Decline
"Friday, May 9, 2014",VF52714940,Decline
"Friday, May 9, 2014",VF52697760,Decline
"Thursday, May 15, 2014",VF52703930,Decline
"Thursday, May 15, 2014",VF52713740,Decline
