Month,Day,Year,Day of Week,Policy Number,Processing Done
November,2, 2017,Thursday,VF53192100,TIAEXPIRED
November,2, 2017,Thursday,VF53177360,Refund
November,2, 2017,Thursday,VF53189480,Refund
November,2, 2017,Thursday,VF53179200,TIAEXPIRED
November,2, 2017,Thursday,VF53182120,Refund
November,2, 2017,Thursday,VF53185140,Refund
November,2, 2017,Thursday,VF53184840,Refund
November,2, 2017,Thursday,VF53182070,Refund
November,3, 2017,Friday,VF53177360,Refund
November,3, 2017,Friday,VF53182120,Refund
November,3, 2017,Friday,VF53185140,Refund
November,3, 2017,Friday,VF53184840,Refund
November,3, 2017,Friday,VF53182070,Refund
November,6, 2017,Monday,VF53184160,TIAEXPIRED
November,6, 2017,Monday,VF53184870,TIAEXPIRED
November,6, 2017,Monday,VF53186000,TIAEXPIRED
November,6, 2017,Monday,VF53196620,EFT TIA
November,6, 2017,Monday,VF53197180,EFT TIA
November,6, 2017,Monday,VF53185130,TIAEXPIRED
November,6, 2017,Monday,VF53180790,TIAEXPIRED
November,6, 2017,Monday,VF53195370,EFT TIA
November,6, 2017,Monday,VF53180870,Docattach
November,6, 2017,Monday,VF53184510,TIAEXPIRED
November,6, 2017,Monday,VF53195830,EFT TIA
November,6, 2017,Monday,VF53197170,EFT TIA
November,6, 2017,Monday,VF53197110,EFT TIA
November,6, 2017,Monday,VF53196080,EFT TIA
November,6, 2017,Monday,VF53192920,EFT TIA
November,6, 2017,Monday,VF53180430,Docattach
November,7, 2017,Tuesday,VF53196730,EFT TIA
November,7, 2017,Tuesday,VF53197270,EFT TIA
November,7, 2017,Tuesday,VF53197440,EFT TIA
November,7, 2017,Tuesday,VF53196920,EFT TIA
November,7, 2017,Tuesday,VF53196850,EFT TIA
November,7, 2017,Tuesday,VF53181400,Refund
November,7, 2017,Tuesday,VF53196890,EFT TIA
November,7, 2017,Tuesday,VF53196940,EFT TIA
November,9, 2017,Thursday,VF53199090,EFT TIA
November,9, 2017,Thursday,VF53199100,EFT TIA
November,9, 2017,Thursday,VF53199210,EFT TIA
November,10, 2017,Friday,VF53199640,EFT TIA
November,10, 2017,Friday,VF53199930,EFT TIA
November,10, 2017,Friday,VF53198280,EFT TIA
November,10, 2017,Friday,VF53192880,Refund
November,10, 2017,Friday,VF53182950,Docattach
November,10, 2017,Friday,VF53200020,EFT TIA
November,10, 2017,Friday,VF53195570,Paycase
November,15, 2017,Wednesday,VF53184740,TIAEXPIRED
November,15, 2017,Wednesday,VF53202850,EFT TIA
November,15, 2017,Wednesday,VF53203140,EFT TIA
November,15, 2017,Wednesday,VF53202870,EFT TIA
November,15, 2017,Wednesday,VF53203150,EFT TIA
November,15, 2017,Wednesday,VF53182720,Refund
November,15, 2017,Wednesday,VF53185360,TIAEXPIRED
November,15, 2017,Wednesday,VF53202290,EFT TIA
November,15, 2017,Wednesday,VF53202910,EFT TIA
November,15, 2017,Wednesday,VF53203110,EFT TIA
November,15, 2017,Wednesday,VF53179120,EFT TIA
November,16, 2017,Thursday,VF76049070,EFT TIA
November,16, 2017,Thursday,VF53203260,EFT TIA
November,16, 2017,Thursday,VF53203530,EFT TIA
November,16, 2017,Thursday,VF53190340,Refund
November,16, 2017,Thursday,VF53204100,EFT TIA
November,16, 2017,Thursday,VF53203270,EFT TIA
November,16, 2017,Thursday,VF53179210,Paycase
November,16, 2017,Thursday,VF53203810,EFT TIA
November,16, 2017,Thursday,VF53186980,TIAEXPIRED
November,16, 2017,Thursday,VF53187740,TIAEXPIRED
November,16, 2017,Thursday,VF53203730,EFT TIA
November,16, 2017,Thursday,VF53203590,EFT TIA
November,16, 2017,Thursday,VF53204270,EFT TIA
November,16, 2017,Thursday,VF53203980,EFT TIA
November,17, 2017,Friday,VF53186980,TIAEXPIRED
November,17, 2017,Friday,VF53177450,Refund
November,17, 2017,Friday,VF53187330,Refund
November,17, 2017,Friday,VF53189240,Refund
November,17, 2017,Friday,VF53204090,EFT TIA
November,17, 2017,Friday,VF53204220,EFT TIA
November,17, 2017,Friday,VF53204130,EFT TIA
November,17, 2017,Friday,VF53204300,EFT TIA
November,17, 2017,Friday,VF53204040,EFT TIA
November,17, 2017,Friday,VF53204160,EFT TIA
November,17, 2017,Friday,VF53204230,EFT TIA
November,17, 2017,Friday,VF53204350,EFT TIA
November,17, 2017,Friday,VF53204480,EFT TIA
November,17, 2017,Friday,VF53183390,Refund
November,17, 2017,Friday,VF53185280,Refund
November,17, 2017,Friday,VF53204510,EFT TIA
November,17, 2017,Friday,VF53196470,Paycase
November,17, 2017,Friday,VF76049070,EFT TIA
November,17, 2017,Friday,VF53204520,EFT TIA
November,17, 2017,Friday,VF53204490,EFT TIA
November,17, 2017,Friday,VF53197650,EFT TIA
November,17, 2017,Friday,VF53204530,EFT TIA
November,17, 2017,Friday,VF53204470,EFT TIA
November,17, 2017,Friday,VF53175140,Apply Check
November,20, 2017,Monday,VF53204580,EFT TIA
November,20, 2017,Monday,VF53177450,Refund
November,20, 2017,Monday,VF53194390,Refund
November,20, 2017,Monday,VF53188180,TIAEXPIRED
November,20, 2017,Monday,VF53192350,TIAEXPIRED
November,20, 2017,Monday,VF53193740,TIAEXPIRED
November,20, 2017,Monday,VF53182720,Refund
November,20, 2017,Monday,VF53187740,Refund
November,20, 2017,Monday,VF53193840,Refund
November,20, 2017,Monday,VF53194000,Refund
November,20, 2017,Monday,VF53205230,EFT TIA
November,20, 2017,Monday,VF53205110,EFT TIA
